,,,Current Location,,,,,Displacement Dynamics,,,,,,,Priority Need,Shelter Details (# of HHs),,,,,,,,,,,,,
Population_Type,Date_of_Assessment,Encoding_Date,Governorate,District,Sub-Area,Present_Location,Total_#_of_HH,Governorate_of_Origin,District_of_Origin,Displacement_Code,Displacement_Date,Return_reason,Event_Description,Type_of_displacement,Main_Need,In_School_Buildings,In_Health_Facilities,In_Religious_Buildings,In_Other_Private_Building,In_Other_Public_Building,In_Settlements,In_Isolated/dispersed_settlements,In_Rented_Accommodation,With_Host_Families_Relatives,With_Host_Families_not_Relatives,In_Second_Home,In_Original_Home,Reporting_Period,Entry_Code
IDPs,,,Aden,Craiter,,Attawilah-???????,1,Al Hudaydah,Bajil,ODOG,2019-01-01,Conflict,Al Hudaydah conflict,,Financial support,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D00045
IDPs,,,Al Bayda,Al Bayda City,,Al-Baida City-????? ???????,5,Al Hudaydah,At Tuhayat,ODOG,2019-01-01,Conflict,Al Hudaydah conflict,,Food- Financial support-,0,0,0,0,0,0,0,3,2,0,0,,20190101 - 20190622,D00151
IDPs,,,Al Dhale'e,Damt,,Al-Dhaherah-???????,7,Al Dhale'e,Damt,SDSG,2019-01-01,Conflict,Al Dhale'e Conflict,,Food- Shelter/Housing-,0,0,0,0,0,0,0,0,7,0,0,,20190101 - 20190622,D00243
IDPs,,,Ibb,Hazm Al Udayn,,Nowabah-?????,2,Al Hudaydah,Al Hawak,ODOG,2019-01-01,Conflict,Al Hudaydah conflict,,Food- Financial support-,0,0,0,0,0,0,0,0,2,0,0,,20190101 - 20190622,D01334
IDPs,,,Ibb,Hazm Al Udayn,,Nowabah-?????,1,Taizz,Al Qahirah,ODOG,2019-01-01,Conflict,General Conflict,,Food- Financial support-,0,0,0,0,0,0,0,0,1,0,0,,20190101 - 20190622,D01335
IDPs,,,Ibb,Hazm Al Udayn,,Al-Helw-?????,2,Taizz,Al  Mukha,ODOG,2019-01-01,Conflict,General Conflict,,Food- Financial support-,0,0,0,0,0,0,0,0,1,0,1,,20190101 - 20190622,D01336
IDPs,,,Ibb,Hazm Al Udayn,,Awjanat-??????,2,Abyan,Zingibar,ODOG,2019-01-01,Conflict,General Conflict,,Food- Financial support-,0,0,0,0,0,0,0,0,2,0,0,,20190101 - 20190622,D01340
IDPs,,,Ibb,Hazm Al Udayn,,Awjanat-??????,1,Aden,Craiter,ODOG,2019-01-01,Conflict,General Conflict,,Food- Financial support-,0,0,0,0,0,0,0,0,1,0,0,,20190101 - 20190622,D01341
IDPs,,,Ibb,Hazm Al Udayn,,Al-Sharaf-?????,4,Taizz,Al Qahirah,ODOG,2019-01-01,Conflict,General Conflict,,Food- Financial support-,0,0,0,0,0,4,0,0,0,0,0,,20190101 - 20190622,D01342
IDPs,,,Lahj,Al Madaribah Wa Al Arah,,Al-Sabeel-??????,3,Al Hudaydah,Zabid,ODOG,2019-01-01,Conflict,Al Hudaydah conflict,,Food- Shelter/Housing-,0,0,0,0,0,0,0,0,0,3,0,,20190101 - 20190622,D01365
IDPs,,,Sana'a,Arhab,,Al-Shuabah-??????,1,Al Hudaydah,Al Mina,ODOG,2019-01-01,Conflict,Al Hudaydah conflict,,Food- Shelter/Housing- Financial support-,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D01483
IDPs,,,Sana'a,Khwlan,,Al-Hajr-?????,1,Amanat Al Asimah,At Tahrir,ODOG,2019-01-01,Conflict,General Conflict,,Food- Shelter/Housing- Financial support-,0,0,0,1,0,0,0,0,0,0,0,,20190101 - 20190622,D01543
IDPs,,,Sana'a,Khwlan,,Ameimah-?????,1,Marib,Sirwah,ODOG,2019-01-01,Conflict,General Conflict,,Food- Shelter/Housing- Financial support-,0,0,0,1,0,0,0,0,0,0,0,,20190101 - 20190622,D01556
IDPs,,,Sana'a,Bani Matar,,Al-Subahah-???????,1,Al Hudaydah,Al Hali,ODOG,2019-01-01,Conflict,Al Hudaydah conflict,,Food- Shelter/Housing- Financial support-,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D01567
IDPs,,,Sana'a,Bani Matar,,Reid-???,1,Al Hudaydah,Al Hali,ODOG,2019-01-01,Conflict,Al Hudaydah conflict,,Food- Financial support- Shelter/Housing-,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D01588
IDPs,,,Sana'a,Bani Matar,,Al-Subahah-???????,1,Al Hudaydah,Al Marawi'ah,ODOG,2019-01-01,Conflict,Al Hudaydah conflict,,Shelter/Housing- Financial support-,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D01594
IDPs,,,Sana'a,Bani Matar,,Al-Subahah-???????,1,Al Hudaydah,Al Hali,ODOG,2019-01-01,Conflict,Al Hudaydah conflict,,Shelter/Housing- Financial support-,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D01602
IDPs,,,Sana'a,Bani Matar,,Al-Subahah-???????,1,Al Hudaydah,Al Hawak,ODOG,2019-01-01,Conflict,Al Hudaydah conflict,,Financial support- Shelter/Housing-,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D01615
IDPs,,,Sana'a,Bani Matar,,Reid-???,1,Ibb,Ibb,ODOG,2019-01-01,Conflict,General Conflict,,Food- Financial support- Shelter/Housing-,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D01616
IDPs,,,Sana'a,Bani Matar,,Reid-???,1,Al Hudaydah,Al Hali,ODOG,2019-01-01,Conflict,Al Hudaydah conflict,,Food- Access to income- Financial support-,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D01620
IDPs,,,Sana'a,Bani Matar,,Reid-???,1,Al Hudaydah,Al Hali,ODOG,2019-01-01,Conflict,Al Hudaydah conflict,,Food- Financial support- Shelter/Housing-,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D01627
IDPs,,,Sana'a,Bani Matar,,Reid-???,1,Al Hudaydah,Al Marawi'ah,ODOG,2019-01-01,Conflict,Al Hudaydah conflict,,Food- Shelter/Housing- Financial support-,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D01631
IDPs,,,Sana'a,Bani Matar,,Reid-???,1,Al Hudaydah,Al Hali,ODOG,2019-01-01,Conflict,Al Hudaydah conflict,,Food- Financial support- Shelter/Housing-,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D01637
IDPs,,,Sana'a,Bani Matar,,Reid-???,1,Al Hudaydah,Al Hali,ODOG,2019-01-01,Conflict,Al Hudaydah conflict,,Food- Shelter/Housing- Financial support-,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D01645
IDPs,,,Sana'a,Al Haymah Al Kharijiyah,,Sheeat Al-Hatab-???? ?????,1,Amanat Al Asimah,Ma'ain,ODOG,2019-01-01,Conflict,General Conflict,,Food,0,0,0,1,0,0,0,0,0,0,0,,20190101 - 20190622,D01648
IDPs,,,Sana'a,Bani Matar,,Al-Subahah-???????,1,Al Hudaydah,Al Hawak,ODOG,2019-01-01,Conflict,Al Hudaydah conflict,,Shelter/Housing- Financial support-,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D01650
IDPs,,,Sana'a,Bani Matar,,Al-Subahah-???????,1,Al Hudaydah,Al Hawak,ODOG,2019-01-01,Conflict,Al Hudaydah conflict,,Shelter/Housing- Financial support-,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D01664
IDPs,,,Taizz,Al Misrakh,,Hasat-????,1,Amanat Al Asimah,Old City,ODOG,2019-01-01,Conflict,General Conflict,,Food,0,0,0,0,0,0,0,0,0,1,0,,20190101 - 20190622,D01702
IDPs,,,Taizz,Dimnat Khadir,,Al-Raydah-??????,1,Lahj,Al Qabbaytah,ODOG,2019-01-01,Conflict,General Conflict,,Food- Shelter/Housing-,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D01740
IDPs,,,Taizz,Dimnat Khadir,,Al-Deim-?????,1,Taizz,Sabir Al Mawadim,ODSG,2019-01-01,Conflict,General Conflict,,Food- Shelter/Housing-,0,0,0,0,0,0,0,0,1,0,0,,20190101 - 20190622,D01743
IDPs,,,Raymah,Mazhar,,Sarwal,1,Hajjah,Abs,ODOG,2019-01-01,Conflict,Hajjah Conflict,,Food,0,0,0,0,0,0,0,0,1,0,0,,20190101 - 20190622,D03608
IDPs,,,Amanat Al Asimah,Ma'ain,, - ,1,Al Jawf,Al Hazm,ODOG,2019-01-01,Conflict,General Conflict,,Shelter/Housing,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D03880
IDPs,,,Hadramaut,Tarim,, - ????? ???????,1,Dhamar,Utmah,ODOG,2019-01-01,Conflict,General Conflict,,Food,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D04132
IDPs,,,Hadramaut,Tarim,, - ????? ???????,1,Dhamar,Al Manar,ODOG,2019-01-01,Conflict,General Conflict,,Food,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D04133
IDPs,,,Aden,Dar Sad,,Al-Gharbyah-???????,2,Al Hudaydah,Ad Durayhimi,ODOG,2019-01-02,Conflict,Al Hudaydah conflict,,Financial support,0,0,0,0,0,0,0,0,2,0,0,,20190101 - 20190622,D00046
IDPs,,,Aden,Dar Sad,,Al-Gharbyah-???????,1,Al Hudaydah,Al Hawak,ODOG,2019-01-02,Conflict,Al Hudaydah conflict,,Financial support,0,0,0,0,0,0,0,0,1,0,0,,20190101 - 20190622,D00047
IDPs,,,Aden,Al Buraiqeh,,Al-Farsi-???????,9,Al Hudaydah,Al Hali,ODOG,2019-01-02,Conflict,Al Hudaydah conflict,,Household Items (NFI),0,0,0,0,0,9,0,0,0,0,0,,20190101 - 20190622,D00048
IDPs,,,Aden,Ash Shaikh Outhman,,Al Mumdara-????????,4,Taizz,Shara'b Ar Rawnah,ODOG,2019-01-02,Conflict,General Conflict,,Food,0,0,0,0,0,0,0,4,0,0,0,,20190101 - 20190622,D00064
IDPs,,,Al Bayda,Al Bayda,,Al Modhaffar Al-Asfal-?? ???? ??????,2,Shabwah,Merkhah As Sufla,ODOG,2019-01-02,Conflict,General Conflict,,Drinking Water- Cooking/washing Water- Food- Health Sanitation/ Hygiene- Shelter/Housing- Education for children- Access to income- Household Items (NFI)- Psychosocial support- Financial support-,0,0,0,0,0,0,0,2,0,0,0,,20190101 - 20190622,D00163
IDPs,,,Sana'a,Sanhan,,Dhabwah-????,5,Hajjah,Mustaba,ODOG,2019-01-02,Conflict,Hajjah Conflict,,Food- Shelter/Housing- Financial support-,0,0,0,0,0,0,0,5,0,0,0,,20190101 - 20190622,D01499
IDPs,,,Sana'a,Bani Hushaysh,,Al-Malecah-??????,1,Al Hudaydah,Al Hawak,ODOG,2019-01-02,Conflict,Al Hudaydah conflict,,Food- Shelter/Housing- Financial support-,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D01530
IDPs,,,Sana'a,Bani Matar,,Rahm Al-Olya-??? ??????,1,Ibb,As Saddahgf,ODOG,2019-01-02,Conflict,General Conflict,,Food- Financial support- Shelter/Housing-,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D01591
IDPs,,,Sana'a,Bani Matar,,Al-Subahah-???????,1,Al Hudaydah,Al Hali,ODOG,2019-01-02,Conflict,Al Hudaydah conflict,,Financial support- Shelter/Housing-,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D01604
IDPs,,,Sana'a,Bani Matar,,Al-Subahah-???????,1,Al Hudaydah,Al Hawak,ODOG,2019-01-02,Conflict,Al Hudaydah conflict,,Shelter/Housing,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D01663
IDPs,,,Taizz,Al Misrakh,,Hasat-????,1,Taizz,Sama,ODSG,2019-01-02,Conflict,General Conflict,,Food,0,0,0,0,0,0,0,0,0,1,0,,20190101 - 20190622,D01704
IDPs,,,Aden,Al Buraiqeh,,Al-Farsi-???????,6,Al Hudaydah,Al Hali,ODOG,2019-01-03,Conflict,Al Hudaydah conflict,,Household Items (NFI),0,0,0,0,0,0,0,0,6,0,0,,20190101 - 20190622,D00049
IDPs,,,Aden,Ash Shaikh Outhman,,Al Mumdara-????????,6,Al Hudaydah,Ad Durayhimi,ODOG,2019-01-03,Conflict,Al Hudaydah conflict,,Food,0,0,0,0,0,0,0,0,6,0,0,,20190101 - 20190622,D00050
IDPs,,,Aden,Ash Shaikh Outhman,,Al Mumdara-????????,2,Al Hudaydah,Al Hali,ODOG,2019-01-03,Conflict,Al Hudaydah conflict,,Food,0,0,0,0,0,0,0,0,2,0,0,,20190101 - 20190622,D00051
IDPs,,,Al Bayda,As Sawadiyah,,AL-Safa-?????,2,Al Hudaydah,As Sukhnah,ODOG,2019-01-03,Conflict,Al Hudaydah conflict,,Drinking Water- Cooking/washing Water- Food- Health Sanitation/ Hygiene- Shelter/Housing- Education for children- Access to income- Household Items (NFI)- Psychosocial support- Financial support-,2,0,0,0,0,0,0,0,0,0,0,,20190101 - 20190622,D00117
IDPs,,,Al Maharah,Al Ghaydah,,Al-Ghaedha-??????,21,Al Hudaydah,Hays,ODOG,2019-01-03,Conflict,Al Hudaydah conflict,,Household Items (NFI),0,0,0,8,0,0,0,13,0,0,0,,20190101 - 20190622,D00713
IDPs,,,Lahj,Al Maqatirah,,Al-Maseejd-???????,39,Al Hudaydah,Al Hali,ODOG,2019-01-03,Conflict,Al Hudaydah conflict,,Food- Shelter/Housing-,0,0,0,0,0,0,0,9,20,10,0,,20190101 - 20190622,D01366
IDPs,,,Sana'a,Sa'fan,,Al-Acamah-??????,1,Al Hudaydah,Al Hawak,ODOG,2019-01-03,Conflict,Al Hudaydah conflict,,Food- Shelter/Housing- Financial support-,0,0,0,0,0,0,0,0,1,0,0,,20190101 - 20190622,D01523
IDPs,,,Sana'a,Bani Matar,,Al-Subahah-???????,1,Al Hudaydah,Al Hawak,ODOG,2019-01-03,Conflict,Al Hudaydah conflict,,Food- Financial support- Shelter/Housing-,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D01546
IDPs,,,Sana'a,Bani Matar,,Reid-???,1,Al Hudaydah,Al Hawak,ODOG,2019-01-03,Conflict,Al Hudaydah conflict,,Food- Financial support- Shelter/Housing-,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D01586
IDPs,,,Sana'a,Bani Matar,,Al-Subahah-???????,1,Al Hudaydah,Bajil,ODOG,2019-01-03,Conflict,Al Hudaydah conflict,,Financial support- Shelter/Housing-,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D01605
IDPs,,,Aden,Al Mansura,,Block 23-???? 23,2,Al Hudaydah,Zabid,ODOG,2019-01-04,Conflict,Al Hudaydah conflict,,Food,0,0,0,0,0,0,0,2,0,0,0,,20190101 - 20190622,D00052
IDPs,,,Aden,Al Mansura,,Block 23-???? 23,3,Al Hudaydah,At Tuhayat,ODOG,2019-01-04,Conflict,Al Hudaydah conflict,,Food,0,0,0,0,0,0,0,3,0,0,0,,20190101 - 20190622,D00053
IDPs,,,Lahj,Tuban,,Ber Omar-??? ???,2,Amanat Al Asimah,Bani Al Harith,ODOG,2019-01-04,Conflict,General Conflict,,Food- Shelter/Housing-,0,0,0,0,0,0,0,2,0,0,0,,20190101 - 20190622,D01367
IDPs,,,Lahj,Tuban,,Jawalah-?????,1,Al Hudaydah,Bayt Al Faqiah,ODOG,2019-01-04,Conflict,Al Hudaydah conflict,,Food- Shelter/Housing-,0,0,0,0,0,1,0,0,0,0,0,,20190101 - 20190622,D01368
IDPs,,,Lahj,Tuban,,Jawalah-?????,1,Al Hudaydah,Hays,ODOG,2019-01-04,Conflict,Al Hudaydah conflict,,Food- Shelter/Housing-,0,0,0,0,0,1,0,0,0,0,0,,20190101 - 20190622,D01369
IDPs,,,Lahj,Tuban,,Al-Huseini-???????,1,Al Hudaydah,Al Garrahi,ODOG,2019-01-04,Conflict,Al Hudaydah conflict,,Food- Shelter/Housing-,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D01370
IDPs,,,Sana'a,Sanhan,,Dhabwah-????,2,Al Hudaydah,As Sukhnah,ODOG,2019-01-04,Conflict,Al Hudaydah conflict,,Food- Financial support-,0,0,0,0,0,0,0,2,0,0,0,,20190101 - 20190622,D01540
IDPs,,,Sana'a,Bani Matar,,Al-Subahah-???????,1,Al Hudaydah,Jabal Ra's,ODOG,2019-01-04,Conflict,Al Hudaydah conflict,,Food- Financial support- Shelter/Housing-,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D01541
IDPs,,,Sana'a,Bani Matar,,Al-Subahah-???????,1,Al Hudaydah,Bajil,ODOG,2019-01-04,Conflict,Al Hudaydah conflict,,Financial support- Shelter/Housing-,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D01606
IDPs,,,Abyan,Khanfir,,Jasr 26 Meyklan-???26 ??????,5,Al Hudaydah,Hays,ODOG,2019-01-05,Conflict,Al Hudaydah conflict,,Food- Shelter/Housing-,0,0,0,0,0,0,0,0,0,0,0,,20190101 - 20190622,D00001
IDPs,,,Abyan,Khanfir,,Baydhan-?????,2,Al Hudaydah,Al Garrahi,ODOG,2019-01-05,Conflict,Al Hudaydah conflict,,Food- Shelter/Housing-,0,0,0,0,0,0,0,0,0,0,0,,20190101 - 20190622,D00002
IDPs,,,Al Bayda,Dhi Na'im,,Al-Munqatae-???????,1,Al Bayda,Rada',ODSG,2019-01-05,Conflict,General Conflict,,Drinking Water- Cooking/washing Water- Food- Health Sanitation/ Hygiene- Shelter/Housing- Education for children- Access to income- Household Items (NFI)- Psychosocial support- Financial support-,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D00118
IDPs,,,Al Bayda,As Sawadiyah,,Al-Jamae Al-Cabeer-?????? ??????,2,Dhamar,Dhamar City,ODOG,2019-01-05,Conflict,General Conflict,,Drinking Water- Cooking/washing Water- Food- Health Sanitation/ Hygiene- Shelter/Housing- Education for children- Access to income- Household Items (NFI)- Psychosocial support- Financial support-,0,0,0,0,0,2,0,0,0,0,0,,20190101 - 20190622,D00119
IDPs,,,Al Bayda,Al Bayda City,,Al-Baida City-????? ???????,2,Al Hudaydah,Ad Durayhimi,ODOG,2019-01-05,Conflict,Al Hudaydah conflict,,Food- Financial support-,0,0,0,0,0,0,0,0,2,0,0,,20190101 - 20190622,D00150
IDPs,,,Al Bayda,Na'man,,Al-Sahah-??????,8,Al Hudaydah,Jabal Ra's,ODOG,2019-01-05,Conflict,Al Hudaydah conflict,,Food- Shelter/Housing-,4,0,0,0,0,0,0,0,4,0,0,,20190101 - 20190622,D00160
IDPs,,,Sana'a,Khwlan,,Al-Hajr-?????,1,Al Hudaydah,Al Hawak,ODOG,2019-01-05,Conflict,Al Hudaydah conflict,,Food- Shelter/Housing- Financial support-,0,0,0,1,0,0,0,0,0,0,0,,20190101 - 20190622,D01547
IDPs,,,Sana'a,Bani Matar,,Reid-???,1,Al Hudaydah,Bajil,ODOG,2019-01-05,Conflict,Al Hudaydah conflict,,Food- Financial support- Shelter/Housing-,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D01587
IDPs,,,Sana'a,Bani Matar,,Al-Subahah-???????,1,Al Hudaydah,Al Hawak,ODOG,2019-01-05,Conflict,Al Hudaydah conflict,,Shelter/Housing- Financial support-,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D01597
IDPs,,,Sana'a,Bani Matar,,Al-Subahah-???????,1,Al Hudaydah,Al Mina,ODOG,2019-01-05,Conflict,Al Hudaydah conflict,,Financial support- Shelter/Housing-,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D01612
IDPs,,,Sana'a,Bani Matar,,Reid-???,1,Al Hudaydah,Bajil,ODOG,2019-01-05,Conflict,Al Hudaydah conflict,,Food- Financial support- Shelter/Housing-,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D01633
IDPs,,,Sana'a,Bani Matar,,Al-Subahah-???????,1,Al Hudaydah,Al Hawak,ODOG,2019-01-05,Conflict,Al Hudaydah conflict,,Shelter/Housing,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D01660
IDPs,,,Raymah,Mazhar,,Sarwal,1,Dhamar,Jahran,ODOG,2019-01-05,Conflict,General Conflict,,Access to income,0,0,0,0,0,0,0,0,1,0,0,,20190101 - 20190622,D03609
